CO-BRANCH;OFFICE;;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;KCP SUNGAILIAT;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;398 - KCP BATURAJA;KCP BATURAJA;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 56.000.000 ; 80.000.000 ; 45.000.000 ; 90.000.000 ; 92.000.000 ; 20.000.000 ; 52.000.000 ; 16.000.000 ; 50.000.000 ; 20.000.000 
361 - PALEMBANG;398 - KCP BATURAJA;KCP BATURAJA;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;398 - KCP BATURAJA;KCP BATURAJA;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;398 - KCP BATURAJA;KCP BATURAJA;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;401 - KCP ENIM;KCP ENIM;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;401 - KCP ENIM;KCP ENIM;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;401 - KCP ENIM;KCP ENIM;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
361 - PALEMBANG;401 - KCP ENIM;KCP ENIM;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0; 18.000.000 ;0; 28.500.000 ;0;0; -   ; -   ; -   ; -   
221 - PEKANBARU;411 - BATAM;BATAM;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
221 - PEKANBARU;411 - BATAM;BATAM;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0; 53.513.600 ;0; -   ; -   ; -   ; -   
221 - PEKANBARU;411 - BATAM;BATAM;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
221 - PEKANBARU;411 - BATAM;BATAM;SAHAJA;Distribusi;0;0;0;0;0;0;0;0; 7.500.000 ; 7.500.000 ; 12.000.000 ; 25.500.000 ;0;0; -   ; -   ; -   ; 12.000.000 
421 - PADANG;421 - PADANG;PADANG;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 45.000.000 ;0; 16.000.000 ;0;0; -   ; -   ; -   ; -   
421 - PADANG;421 - PADANG;PADANG;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;421 - PADANG;PADANG;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;421 - PADANG;PADANG;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0; 7.500.000 ; 12.000.000 ;0;0; 7.500.000 ; -   ; 7.500.000 ; -   
421 - PADANG;422 - KCP BUKITTINGGI;KCP BUKITTINGGI;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
421 - PADANG;422 - KCP BUKITTINGGI;KCP BUKITTINGGI;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
